연령,가족 구성원 수,주택규모,월평균 가구소득,성별_1,성별_2,주택형태_1,주택형태_2,주택형태_3,주택형태_4,직업_1,직업_10,직업_2,직업_3,직업_4,직업_5,직업_6,직업_7,직업_8,직업_9,반려동물 사육경험_1,반려동물 사육경험_2,반려동물 사육경험_3,향후 반려동물 사육의향
23,4,35,550,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
45,1,35,350,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6000000000000001
34,2,35,650,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
55,1,15,150,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
36,2,15,450,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
70,2,35,450,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
68,2,25,750,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0
63,3,25,250,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6000000000000001
43,3,15,450,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
44,3,35,750,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
42,2,5,150,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.2
63,4,35,250,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
46,3,35,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
22,3,35,150,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
27,3,25,150,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
30,2,25,650,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
33,3,35,750,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
26,4,35,750,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
50,2,25,250,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
58,3,25,350,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.8
54,4,60,750,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.8
42,4,25,350,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
48,4,25,450,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
40,1,5,50,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
62,4,35,350,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
48,4,35,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.8
43,4,35,750,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
40,2,45,650,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
49,5,25,350,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.8
67,1,15,50,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8
53,2,15,150,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.2
54,3,25,150,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.6000000000000001
56,1,25,550,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.2
37,2,45,450,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
58,2,15,50,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6000000000000001
40,3,15,350,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4
58,3,45,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.4
51,2,15,350,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6000000000000001
56,4,25,250,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
68,3,35,750,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.8
56,4,45,550,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
46,4,25,350,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6000000000000001
33,2,15,450,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.0
26,3,25,350,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
44,2,15,150,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
24,3,45,650,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
43,3,25,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
23,4,15,450,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
36,4,25,450,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
41,1,25,350,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0
57,4,35,750,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
52,4,35,750,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
41,3,15,450,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
25,4,35,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
29,4,45,750,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0
31,4,35,350,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.8
38,2,15,450,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6000000000000001
26,4,25,350,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8
50,4,45,750,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0
38,3,35,350,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6000000000000001
26,2,15,150,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
34,2,25,550,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.4
34,5,35,650,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
51,4,25,450,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6000000000000001
25,4,45,750,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
24,4,25,250,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0
37,4,25,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.8
37,4,25,350,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.8
45,1,5,50,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.2
36,4,25,350,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.8
48,4,45,550,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
32,3,60,650,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
53,4,25,750,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0
40,4,15,350,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6000000000000001
